"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
Hammer Museum,Curatorial Affairs Assistant,Curatorial/ Academic Programs ( 50/50),Los Angeles,United States,"41,600","$2,019.00 ","41,600",Contingent/ Finite (C),40,"Full health benefits, dental included",2019,6,,she/her/they/them,"Desi, asian american",bachelors,,
Museum of Contemporary Art Chicago,Visitor Experience Associate,Visitor Experience,Chicago,United States,$12 per hour,2018,$12 per hour,H,Limited to 29 hours,None,2019,,,She/her/they/them,,,,
Hyde Park Art Center,Preparator,Exhibitions,Chicago,USA,"40,000",2017,"43,000",P,,"401k, 6% match. Health insurance.",2019,7,3 months PTO maternity; 1 month PTO paternity,She/her; caucasion,Option 1,,,
[Southeastern Public University Art Museum ],Preparator,Curatorial,NC,USA,16.00/hr,2018,16.00/hr,"H,P",30,yes,2019,1.5,,She/hers,White,BA (preferred) ,n/a,
Crystal Bridges Museum of American Art,School Programs Educator,Education,,US,36000,2015,36000,H,40,"health, vision, dental, vacation, sick days, optional retirement",2016,3,unknown,she/hers,caucasian,"BA required, MA preferred (I have an MA)",unknown,
[Mid-Size History Museum],Associate Curator,Curatorial,LOS ANGELES,United States,"54,000",2018,"55,000",P,,Yes,2019,5,,She/hers,Mixed: Jewish/Latina,MA,,
"[Small history museum in Iowa, 2 employees]",Education Coordinator,Education,"Council Bluffs, IA",USA,"32,000","$2,018.00 ","32,000",P,,No benefits,2019,5,none,she/hers,white,,,
Getty Research Institute,Metadata Specialist,,Los Angeles,USA,"47,000",2017,"50,225",C,40,"Yes, full",2019,5,,she/hers,Option 1,Master's,,race: white/caucasian
Museum Association,Chief Administrator,,NYC,,50000,2011,95000,P,,yes,2019,13,"small org, all are eligible for paid family leave.",she/hers,white,Masters,,
"[Midwestern history museum, ~30 employees]",Registrar and Collections Manager,Collections,Chicago,IL,"$40,000 ",2015,"$48,000 ",P,,Yes ,2019,10,,She/hers ,Caucasian,,,
[Midwest Contemporary Art Museum ],Executive Assistant ,Director's Office ,Chicago,United States,"40,000",2017,"41,000",(P),N/A,,2019,2,None.,she/hers/her,White,BA ,,
Los Angeles County Museum of Art,Curatorial Assistant,Contemporary,Los Angeles,United States,"43,000",2016,"45,000",H,,Yes,2019,0,N/A,She/They,Black/Afro-latinx,BA,N/A,
National Gallery of Art,Library Technician (Contractor),Library,"Washington, DC",USA,$20/hr,2018,$20/hr,"C, H","40 hrs/week, 3-month renewable contracts",No,2019,1,,she/they,white,,,
Pulitzer Arts Foundation,Public Programs Manager,Public Programs and Engagement,St. Louis,USA,"$36,000 ",2018,"$36,920 ",H,,"$10,287.58: Medical $4,563.40, Dental 383.40, Medical Insurance Deductible $1,000 (match), Short-Term Disability $108.24, Long-Term Disability $78.12, Life Insurance $96, Accidental Death & Disability $12, IRA $1,107.60 (match)",2019,1,"Unpaid + completed 1 year of service and worked 1,250 hours over previous 12 months",she/they,Asian American,"A bachelor’s degree is required, preferably in art, art history, cultural studies, education, or humanities field. A master’s degree in the arts or other creative industry and a minimum of three years of experience working in a creative field is preferred. / No",No,
"[Nonprofit Museum, Brooklyn ]",Operations/Visitor Services Manager,Operations ,New York,USA,"$33,000 ","$2,018.00 ","$35,000 ",P,,"Affordable health care, metro car, PTO",2019,2,,She/They,White,BA,,"Paid overtime, however no team building, no communication between board and actual
Museum staff, staff not part of crucial decisions "
Powerhouse ,Educator ,Art Handling ,NY,US,,,,,$45/hr Prep and $75/hr Teach. 4hr/week of both. 16 week prep 10 week program ,None,2019,4,Flexible without pay,She/they,Option 1,NA,Option 1,
[New England Contemporary Art Museum],Curator,Curatorial,,USA,"$42,000 ",2015,"$58,000 ",P,,"Employer pays partial health insurance, no dental or vision",2019,9,,she/they,white,MA - Art History,,
[Mid-sized non-profit contemporary art residency and gallery],Artistic Director,Artistic Programs,Los Angeles,CA,"$55,000 ","$2,014.00 ","$68,000.00 ",P,,"Health, dental, vision, matching IRA contribution, annual Metro pass",2019,20,Up to 16 weeks paid leave for new parents. Pay includes CA disability leave payments with balance paid by employer,She/they,South Asian American ,MA,N/A,"Manage multiple galleries and projects simultaneously including residency, commissions, and exhibitions in two locations. One support staff member."
Recess Galler,Printshop Facilitator,Gallery,Ny,Us,,,,,$35/hr 8-10hr/wk,None,2019,NA,Flexible without pay,She/they,Option 1,NA,,
"[Chicago, non-profit museum]",Registrar / Collections Manager ,Collections ,Chicago ,USA,$24/hour ,2018,$24/hour ,Hourly (H),Part-time - 19 hours/week ,No,2019,2 years (related) + MFA ,full time staff ,She/they ,White,,,
[Caribbean - 20 +/-5],Assistant Curator,Curatorial,,,,,"$30,000.00 ",P,,none,2019,5,Not formal,They,Black,Bachelors,,degree specifications not always used for men. 
The Art Institute of Chicago ,Museum Exhibit Technician ,Registration ,Chicago,United States,"23,000",2011,"33,000",H,,Yes,2019,5,I don't know. ,They/ their ,,"BFA then, MFA now ",No,
[Large art museum],Assistant to dept. head/general dept. assistant,Curatorial,Chicago,USA,18.00/hour,2017,21.47/hour,H,35 hours/week,"25 days PTO, some paid medical leave, some paid caregiver leave, health, dental, vision, 403b, life",2019,3,"up to 4 weeks, can be supplemented by PTO, medical, caregiver leave. eligible: birth mothers, non-birth parents, parents who have recently adopted a child","they/their/them, not out at work",,,,pay grade system from 1-12. my position is a grade 5. 
[Large art museum],Assistant to dept. head/general dept. assistant,Curatorial,Chicago,USA,18.00/hour,2017,21.47/hour,H,35 hours/week,"25 days PTO, some paid medical leave, some paid caregiver leave, health, dental, vision, 403b, life",2019,3,"up to 4 weeks, can be supplemented by PTO, medical, caregiver leave. eligible: birth mothers, non-birth parents, parents who have recently adopted a child","they/their/them, not out at work",,,,pay grade system from 1-12. my position is a grade 5. 
Sprüth Magers,"Sales Associate, Media Coordinator, and assistant to the Directors","Media, Sales, Events, and Press",Los Angeles,USA,"27,000","$2,015.00 ","38,000",Salary,Full time,"General health insurance, no dental",2019,3,3 months maternity leave,They/Them,Caucasian / European,Bachelor,N/A,"Endured bullying with senior director fully aware of the situation. Due to gallery structure and hierarchy, and no HR department, no action was taken. No mentor ship encouraged between superiors and new comers. Worked many hours of overtime that were never compensated. Felt forced to quit due to mental health concerns. "
The Museum of Food and Drink,Private Events Coordinator,Operations/Development,"Brooklyn, NYC",United States,"Unpaid for 30 hr/week, 4% commission on event net revenue plus $200 base pay per event. ","2,017.00","32,000 and 10% commission on event net revenue. After taxes, the average was $35,000.",Began as a contractor,"On the books, 3 days/week. Actually worked 70+ hrs/week.",Unlimited metro card,2019,3,3 months paid at 3/4 salary.,they/them,white,none,n/a,"Staff was promised incremental salary bumps every three months, but not all staff received them. "
[Private Gallery for Emerging Artists; <5 employees],"Preparator, inventory manager",,San Francisco,USA,$0/hr intern,"$2,014.00 ",$20/hr,H,12-Jun,No,2018,4,n/a,They/them,White,BFA,,Gallery also offered me an exhibition.
[Well known artist],Studio Manager,,San Francisco,USA,$15/hr,"$2,015.00 ",$24/hr,H,18-Dec,no,2019,4,no,They/them,White,BFA,,I feel very underpaid at this job at my current rate for the difficulty of work that I do.
[WA],Youth Director,Public Programming,Seattle,United States,30k,2015,41K,C,,Yes,2018,5,no,They/Them,White,They helped pay for certification program ,no,
Swann Galleries,Specialist,Photography,New York City,United States,"$35,000 ",2015,"$40,000 ",P,,Health Insurance and bonus,2018,5,case by case,they/them,white,Bachelors,"no,  not applicable",
Seattle Office of Arts & Culture ,Sr. Art Program Specialist,,Seattle,USA,"$71,000 ",0.25,"$76,009 ",H,40,"Health, dental, retirement, vacation, professional development funds  ",2019,15,"yes, all parents ",they/them,multiracial,"degree required with several years work experience, or More years work experience if no degree. $2,000/yr to all employees toward professional development, which can include education",N/A,
The Metropolitan Museum of Art,Operations Assistant,Visitor Experience,New York,USA,"$28,000 ","$2,019.00 ","$28,000 ",H,,"Health, Dental, Retirement",2019,7-Apr,,they/them,white,BA,,
[Mid-sized museum in New England] ,Education Coordinator,Education,,US,"$43,000.00 ",,"$43,000.00 ",P,,,2019,,,they/them,White,,,
[CA],Acting COO,Operations,San Diego,United States,"27,000",2013,69000,P,,"Medical, Dental, Vision",2019,20,6 weeks,They/Them are my pronouns,White,Masters or equivalent work experience,,My starting salary was very low because I have worked in a few different positions and moved up
[Chelsea art gallery],Project Archivist,Archives,New York,USA,$15.00 ,"$2,017.00 ",$26.00 ,C,40,NO,2019,4,NO,trans man,white,MLIS,,
"[British Columbia, small museum]",Database Administrator,Collections,Victoria,Canada,"45,000 CAD",2018,"45,000",Contingent/Finite Term Employment (C),35,health but no dental,2019,2,"all parents eligible, 1 year with partial pay to be split amongst parents",transgender,white,masters,n/a,
"[British Columbia, small museum]",Database Administrator,Collections,Victoria,Canada,"45,000 CAD",2018,"45,000",Contingent/Finite Term Employment (C),35,health but no dental,2019,2,"all parents eligible, 1 year with partial pay to be split amongst parents",transgender,white,masters,n/a,
"[Corporate Art Collection, <10 employees in art department]",Preparator,,Cleveland,United States,"$42,000 ","$2,017.00 ","$43,500 ",P,,"health, dental, optical, life insurance",2019,5,,transgender,caucasian ,BFA,,
Indiana State University Permanent Art Collection,Curator,Special Collections,Terre Haute,United States,"$46,000.00 ","$2,015.00 ","$53,000.00 ",p,,Yes,2019,8,Federal minimum allowance and eligibility,"transwoman, she, her, hers",caucasian,Masters,,
"[Fine Art Museum, 85 FTE]",Librarian,Library,,,"64,000",2016,"75,000",P,,yes,2019,12,unpaid,white female,Option 1,MLS,,The main reason I left my previous position at another art museum library was salary. I was unable to support my family despite having over 10 years and three promotions while at that institution.
Metropolitan Museum of Art,Associate Curator,,New York,United States,"$30,000 ",2000,"$100,000 ",P,,Yes,2019,22,,White woman ,Option 1,PhD when hired,,
Miami Contemporary Art Museum ,Development Assistant ,Development,Miami,United States,$15 HR ,2016,,$15 Hourly ,,"Health, Vision, Dental ",2917,1,"Yes, women ",Woman,White,,,
Musée Roybet Fould (City museum in a historic monument of 1878),Assistante de conservation ,,Courbevoie,France,1600 Euros,2014,1600 Euros,C,,"
half of the transport subscription",2019,2,Women : 16 weeks ; Men : 11 days,Woman,Caucasian,,,Master's Diploma (Ecole du Louvre)
[Gallery],Gallery Manager,Contemporary Art,London,United Kingdom,8GBPp/h,13824,15552,H,36,None,2019,4,Noone,Woman,White,"BA, MA",No,
Gagosian Shop,Sales Associate ,Sales/Retail,Manhattan,USA,$15/hr,2018,$15 ,Permanent ,"“Part time” (30+ hours, 5 days/week)",No,2019,4,Unknown,Woman,White Latina,Bachelors ,Unknown,"I was paid $15 before it was in effect as the minimum wage for for all of New York City. Since becoming minimum wage I requested a meeting with my manager and HR to address this and request a raise since the job compensation was described as “competitive”, and we would be working with VIP clients and artists as well as handling high value works daily. I was placated in the meeting, but, even after following up, I have ultimately been ignored."
"[Academic Art Museum, Midwest]",Director of Development,Development,,,,,"$62,000 ",P,,yes,2019,5,"yes, 12 weeks paid",woman,white,,,
The Huntington Library,Graphic Designer,Marketing and Communications,San Marino,USA,60000,2017,61800,p,,yes,2019,9,3 months,woman,Option 1,,,
[large art museum],adjunct educator,Education,Boston,US,12/h,2006,23.15/h,H,"some weeks 0, 7-60 hours/month",none,2019,12,not available for adjuncts,woman,white,working towards BFA,n/a,"Current starting rate for position is 18.15. Stepped raises introduced in 2018, maxes out at 23.15 at 10 years. Sick time for part time employees introduced with change in MA law. Benefits, parental leave, subsidized commuter passes not available for adjuncts. "
Lexington Historical Society,Collection Manager and Marketing Manager,Collections and Marketing,"Lexington, MA",USA,"$43,000.00 ","$2,019.00 ","$43,000.00 ",P,,None,2019,12,Yes (permanent staff only),Woman,White,,,
The National Museum of Agriculture,"museographer-curator, researcher, museum educator and other in same job",researche department,Slobozia,Romania,63 US $/month,"2,006.00",489 US $/month,no,no,"
state health insurance, unemployment (o short period) and retirement ",2019,13,The National Museum of Agriculture,woman,white,higher education in museum  and History and 1A degree,no,i am expert in Cyrillic manuscript /I have the right to certify that  documents are original or not
"[Small Art museum, Mountain-Plains Region]",Director of Education ,Education ,,USA,"$78,000 ",2019,"$78,000 ",(P),,"Yes, medical and life insurance, and two weeks vacation ",2019,15,None,Woman,White,MA,,
[Art museum (run by the city)],Curator,,,Sweden,32500 SEK,2015,34800 SEK,Permanent,,,,18,Swedish standard,Woman,,MA in art history and curatorial studies,,
"[Art and Crafts non-profit Museum, 14 employees]","Education, communication and customer service Director",Education,Montreal,Canada,29 000 $ Can,"$2,014.00 ",40 000$ Can,"35h, permanent",,None,2019,10 years,Same as all in Canada (Law),Woman,Caucasian,Master degree + 5 years experience in field,,"Big salary adjustment this year (2019), made 36 000$ Can in 2018. "
[Art organisation],Public affairs/ programmes,,,Belgium,"3,400€","$2,019.00 ","$3,400.00 ",Permanent,38,"Public transport, health insurance, meal vouchers ",,10,Yes,Woman ,Kaukasian,Master,,
Midsize art museum in Texas,Assistant Curator,Curatorial ,,USA,"55,000",2018,"55,000",P ,,Yes ,2019,,four weeks paid leave ,Woman ,White ,PhD ,,
Portland Art Museum,Mid Level Development,Development,Portland,United States,"$48,000.00 ","$48,000.00 ","$48,000.00 ",,,Yes,2019,3,Unknown,"Woman, she/her/hers",White,Undergraduate,,
[Academic Art Museum],Associate Curator,Curatorial,New England,United States,60k,2019,60k,N/A,N/A,"Health, Dental",2019,8 years,6 weeks,Woman/Female (she/her/hers),Option 1,,,African American (Black)
[NYC Art Museum (200-500 employees)],Membership Desk Host,Membership,New York City,United States,$15/hour (NYC Minimum Wage),"$2,019.00 ",$15/hour (NYC Minimum Wage),H,P/T,None,2019,3,"Not sure, all P/T staff receive no paid time off.","Woman-ish, she/her",White,"BA, no.",,
[Art Museum in Harlem New York ],Development Associate ,Development ,New York,US,"$40,000 ",2017,"$40,000 ",,,Yes ,2018,2,,Women,White ,,,
Nationalmuseum (Museum of fine arts),Loan registrar,Collections,Stockholm,Sweden,21 500 SEK,2006,33 000 SEK,P,,,2018,13,parental leave according to Swedish law (18 month to share between both parents),"women, she",,bachelor or master in art history,,
[Philadelphia],Restoration Tech,Operations,Philadelphia,United States,"$57,000.00 ","$2,017.00 ","$62,400.00 ",P,,"Health, Dental, PTO",2019,6,"Yes, father or mother",Xir,BasedX,BA,,
Colorado State University,Archaeological Collections Coordinator,Anthropology,Fort Collins,United States,"58,000",2017,,P,,Yes,2018,20,4 months + both parents,Yes,Yes,Masters,,
[history museum (120+ employees)],education coordinator,education ,New Orleans,US,"$45,000.00 ",,"48,000",P,,"Y - medical, dental, vision, 403B matching (after 1 year), short-term disability, group life insurance",2015-2018,0,,,,,,
[New York Non-Profit with 10 Employees],Curator,Curatorial,New York,USA,"35,000",2005,"35,000",C,40,None,2009,0,None,,,,Option 1,
"[Private gallery, 2 employees]",Gallery Assistant ,,,,7/h,"$2,016.00 ",7.50/h,C,,None. ,2017,0,None. ,,,Masters degree,No,Only 7 days annual leave (half of the legal minimum) 
Dumbarton Oaks Research Library and Collection,Curatorial Fellow,Museum,"Washington, D.C.",United States,"$40,000 ","$2,018.00 ","$40,000 ",(C),,,2019,0,,,,BA,,
SFMOMA,Development Associate,Development,San Francisco,United States,,"$2,018.00 ",,29.8,35,,2019,0,,,,B.A.,,
Madison Museum of Contemporary Art,Gallery Attendant,Front of House,,USA,8.25 per hour,,8.25 per hour,part time,,none,2014,0.5,,,white,,,
[Science Center],Host,Guest Services,"Los Angeles, CA",USA,$13.25 ,"$2,018.00 ",$13.25 ,HPC,28 hr / week,"Paid sick leave, vacation hours",2019,1,Unsure,,,College Degree desired,Unsure,
"[Specialized company, ~10 employees]",Art Handler/Driver (freelance),,Paris,France,"18,75EUR/Hr",2018,"22,5EUR/Hr",Independant,,Minimal health care,2019,1,,,,,,
[Theatre Museum ],Junior Researcher,Curatorial,Moscow ,Russia,8300,2018,8300,P,,,2019,1,,,,Masters,,
Bibliotheca Hertziana,Academic Assistant,,Rome,Italy,"€50,032","$2,019.00 ",,C,45,,2019,1,,,East Asian,,Yes,
Fisher Parrish / Patrick Parrish Gallery,Intern,Intern,New York,US,Unpaid,2018,Unpaid,Unpaid,Hourly,"None. Not lunch, not anything.  I was a keyholder and ONLY person present at the gallery. ",2018,1,N/A,,,,,
Greensboro Science Center,Guest Services Associate,Guest Services,Greensboro,USA,$8/hour,"$2,019.00 ",$8/hour,hourly,20,none,2019,1,Parental leave available for full-time & part-time management staff. None for part-time associates,,,high school or equivalent,,
Guggenheim Museum,Intern,,,US,$500 ,,,$500 stipend for a 3 months long internship,,,2014,1,,,,,,
Harvard Art Museums,Assistant,Development,Cambridge,USA,"$43,000.00 ",,"$52,000.00 ",H,,Y,2017,1,,,,BA - tuition assistance included in benefits,,
"InLiquid Art+Design (non-profit, gallery)",Web Content,Marketing,"Philadelphia, PA",USA,$12/hr,,$12/hr,"H, Part-Time",,N,2019,1,,,,,,
National Gallery of Art,Museum Aide,Security,"Washington, DC",,"36,172",2018,,P,,,2018,1,,,Asian,,,
Norval Foundation,Gallery Assistant,,,South Africa ,$10 284,,$14 742,Fulltime (C),,NONE,2019,1,na,,,,,
Small gallery,"My boss ""doesn't believe in titles""","Marketing, Communications, Archival, Design",Los Angeles,USA,"36,000",2016,"40,000",P,,5 PTO days/year,2019,1,N/A (hasn't come up),,,BA,N/A,
The Henry Ford,Special Assistant,Finance,Dearborn,USA,"40,000",2017,"40,000",P,,Yes,2018,1,FMLA,,,Bachelor,,
College Park Aviation Museum,Museum Educator,Education,College Park,United States,$11.70 / hr,2018,$11.70 / hr,H,0 - 29,None,2019,1.5,N/A,,,,,
"[200 employees, Non-Profit, Multiple Sites]",Digital Asset Coordinator,,Oklahoma City,USA,"40,000","$2,019.00 ","40,700",P,,"401(k), Health, vacation",2019,2,"implemented June 2019 - both parents, coming due to Washing DC legislation ",,,,,
"[Bay Area, History Museum, 30+ Employees]",Assistant,Administration / Finance / Executive ,,United States,21.00 / hour,2017,23.50 / hour,H - FT,,"Yes, all employer-paid and quite comprehensive ",2019,2,,,Option 1,BA required,,
[Central California Art Museum] ,Art Instructor,Education Department ,,United States of Amera,$9 ,2014,$10 ,H,Part-time (6-9 hours a week),None,2019,2,Full time workers,,,High School Degree. ,N/A,Hold an MFA. 
[Historic Home],Group Tour Manager,Education,[ N/A ],US,"$39,000 ","$2,019.00 ","39,000",P,,"Medical (80%), Dental (80%), Some Vacation, Some Holidays",2019,2,,,,,,Many more tasks and interdepartmental responsibilities than job description and title reflect.
[Historical Society],Exhibitions Research Assistant,Exhibits,Indianapolis,United States,14/hr,,,,H 20/week,No,2019,2,,,,Masters,,
[intentionally left blank],Conservation Fellow,Collections Care,Atlanta ,USA,"40,000",2017,"40,000",C,,"Medical, dental, vision, 2 weeks vacation, retirment",2019,2,,,,Masters,,
[Large Art Museum],Program Coordinator,Education,Boston,USA,"$30,000 ",2012,"$32,000 ",,40,Health + retirement,2015,2,Don't know,,,Bachelors,Don't know,
[Major Museum in GERMANY],Assistant Curator,Contemporary Art,,GERMANY,1800 EURO,"$2,016.00 ",3600 EURO,,C,no,2019,2,,,,,,
"[Museum, 200+ Employees]",Assistant,Development,Chicago,USA,"$27,000.00 ","$2,014.00 ","$27,000.00 ",P,40,,2014,2,,,,,,
[New York City Gallery - Lower East Side],Assistant Registrar,Logistics,New York,USA,43000,2018,44000,,,barely,44000,2,,,,,,
"[Public Garden - Ohio, USA]",Curation,Horticulture,,USA,14.00 /hr,"$2,018.00 ",15.00 /hr,H,40,"Medical, Dental, Vision",2019,2,4 weeks for mothers,,,Bachelor's. No education benefit,None,
"[San Francisco, Art Museum, ~200 employees] ",Assistant Conservator,Conservation,San Francisco,United States,"55,000","$2,016.00 ","65,000 (Ending)",P,,"Union represented- Health, dental, pretax commuter/FSA, matching 403b, 10 vacation days (accrued over a year ), approx. 13 sick days (accrued over a year)",2016,2,,,,Graduate degree,,
"[South Florida, Large Public Library System]",Part-Time Staff,Art Archives/Art Programming,Miami,USA,12700,2018,,Hourly,$13.25 ,None,2018,2,Full-Time Staff,,,None,No,
[University Art Museum; 40 employees],Project Archivist,,Tucson,United States,"35,000","$2,018.00 ","35,000",C (4 years),Full Time,Yes,2019,2,,,,Master's,,
Academia Brasileira de Belas Artes ,Presidential Adivisor ,Presidential,Rio de Janeiro ,Brasil ,875,2017,675,H,H,Work only 3 days a week,2019,2,,,,Yes,,
Creative Time,Manager Level,External Affairs,,US,"$50,000.00 ",,"$50,000.00 ",P,,Health insurance,2018,2,,,,,,
Gagosian,Intern,General,New York,United States,13.50/hour,2018,,,40 H,None,2018,2,,,,,,
Halim Time and Glass Museum,Guest Services Representative,Guest Services,Evanston,USA,$11 ,1,$12 ,H,H,none,2019,2,none,,,,,
Institute of Contemporary Art Miami,Assistant Manager of Visitor Services,Visitor Services,,,,,"$40,000.00 ",P,,Y,2019,2,,,,,,
KHOJ INTERNATIONAL,FELLOW,CURATORIAL AND PROGRAMMES,DELHI,INDIA,$100.96 ,"$2,015.00 ","$15,000.00 ",Finite Term Employment (C),FULL TIME (8 HOURS/5 DAYS A WEEK PLUS LATE EVENINGS ONCE A MONTH),NONE,2018,2,,,INDIAN,GRADUATE/UNDERGRADUATE IN ARTS OR HUMANITIES,,
MUSEUM OF CONTEMPORARY ART LOS ANGELES ,Gallery Attendant ,Visitor Engagement ,Los Angeles ,United States Of America,$13.75/hr. ,,,13.75,27,No,2019,2,,,Latino,,,
National College of Art & Design Gallery,Gallery Assistant ,,Dublin ,Ireland,0,2018,0,0,0,"None, nothing",2019,2,,,White,Required to be enrolled at BFA/ MFA,N/A,"The only person who is paid is the curator who runs the gallery and we rarely see her. We invigilate, document & photograph, make social media posts, open and close, set up the exhibitions, take them down, run for supplies."
National Museum of Mathematics,Interpreter,,New York City,USA,$14/hr,2015,$15/hr,H,20-25,None,2018,2,lol none,,,Bachelors in Math required ,none,
Skirball Cultural center ,Event specialist,Hospitality and private events ,Los Angeles ,USA,50000,2019,50000,Full time exempt,,"Health, vision, dental",2019,2,,,,BA,,
The Cooper Union,Development Associate,Development,New York,New York,"$50,000 ","$2,018.00 ","$50,000 ",P,,Yes,2019,2,"Yes, eligible for FT",,,Bachelor's,,
Whitaker Center of Science and the Arts,Education Engagement Manager ,Education ,Harrisburg ,United States,15/hour,"$2,017.00 ","$36,133.00 ",P,,Yes,2019,2,"Yes, unpaid ",,,BS ,,
"[New England, Children’s Museum, non-profit]",Exhibits Manager,Visitor Services,,United States,"$29,000.00 ",,"$32,000.00 ",H,40/w,,2019,2.5,,,Non-white,Bachelor,,Only 1 raise possible throughout life of employment in this role (at the year mark). No financial mobility beyond that.
Bishop Museum,Volunteer and Human Resources Coordinator,HR,Honolulu,USA,$15.30/hr,"$2,015.00 ",$15.30/hr,H,40,,2018,2.5,,,,,,
Customs House Museum & Cultural Center,Curator of Collections,Curatorial,"Clarksville, TN",USA,"32,000","$2,015.00 ","36,000",P,,"Yes (Health, vision, dental, sick time and vacation time)",2017,2.5,Unsure,,,BA and MA,,"While my curator job required a MA, others there didn't."
Guggenheim Museum,Conservation Fellow,Conservation,New York,USA,43000,2016,48000,C,40,"Health care, 403b, vacation, sick time, holidays",2019,2.5,,,,Master’s Degree,,
[Archive within a government agency in Texas],Curator,Archives,Austin,USA,"$56,000 ","$2,017.00 ","$58,000 ",Full time/permanent,N/A,Health insurance/PTO/increases based on longevity,2019,3,I'm not sure--I don't have children,,,,,
[Art Mag ],Associate Editor,Editorial Board,,India,"$5,200 ",2019,"$5,200 ",Permanent,48 hrs/week,Nil,,3,,,,,,🌋💚💚
[Central Louisiana],Education Director,Education,,United States,"$22,000 ","$1,998.00 ","$26,000 (2000)",P,,Medical insurance,2000,3,,,W,"Bachelors, no tuition benefits",,
[Children's Museum (East Coast)],Marketing Coordinator,Marketing,,,"40,000","$2,019.00 ","40,000",P,,,2019,3,,,,Bachelor's,,
"[contemporary art museum, non profit]",administrative assistant,curatorial,,USA,$12/hr,"$2,017.00 ",$12/hr,H,under 30,retirement plan; PTO after a long period,2019,3,"yes, for full time employees",,,,,no raises offered at this institution
[Government arts agency],Grant writer,Development,Los Angeles,USA,52000 contract,"$2,018.00 ",57000 contract,C (independent contractor),,N/A,2019,3,N/A,,,B.A.,N/A,
"[Historic Home and Museum, Southern California , 2 Full Time Employees, 3 Part Time Employees]",Associate Director/Collections Manager,,Alta Loma,USA,$17.00/hour,2014,"47,000",P -Salary,,"No- Medical, Yes- Vacation",2019,3,,,,,,
"[Historic Home and Museum, Southern California , 2 Full Time Employees, 3 Part Time Employees]",Associate Director/Collections Manager,,Alta Loma,USA,$17.00/hour,2014,"47,000",P -Salary,,"No- Medical, Yes- Vacation",2019,3,,,,,,
[Intentionally left blank],Assistant Registrar,Collections,Melbourne ,Australia ,64000 AU$,2018,,C,,,2019,3,,,,Post grad in Museum Studies + Undergrad,,
"[Large History Museum, Michigan]",Office Administrator,,,United States,"$33,000.00 ","$2,018.00 ","$33,825.00 ",P,,Full,2019,3,"FMLA, short term disability",,,,,
[Large NYC Historical Museum],Development Associate,Development,New York City,USA,"$44,000 ",2019,"$44,000 ",Hourly,Under 40 hours/week,Yes,2019,3,Yes,,,"BA, but I have MA",No,
[Mid-size NYC Chelsea Gallery],Sales Assistant,,New York,United States,"$40,000 ",2018,,Permanent,,,2019,3,,,,Bachelor's Degree,,
"[Midsize Art Museum, Midwest]",Curatorial Asisstant,Curatorial,,USA,"32,000",,"34,999",Full-time,,"Medical, dental, vision, vacation",2019,3,Yes,,,,,
[North Texas Art Museum],coordinator,education,,US,16.00 PT,"$2,018.00 ",19.78 FT,H,,Y,2019,3,,,white,"BA in art history, no tuition assistance",,
"[Praries Art Gallery, Non-profit, 60+]",Gallery Attendant,,,Canada,16.69 CAD,"$2,017.00 ",16.69 CAD,H,25,No,2019,3,None,,White,Bachelors+ or equivalent,None,
[Regional Art Museum],Assistant Curator,,Toronto,Canada,"$45,000 CAD",2019,,P,,full health + dental ,2019,3,,,,,,
"[Science Museum, Midwest]",Education Manager,Education,"Ann Arbor, MI ",USA,"33,000",2016,,P,,"Insurance, discount on parking ",2019,3,6 weeks unpaid for mothers,,,Bachelor ,,
[Small gallery],Gallery Manager,,Sydney,Australia,41600 AUD,2018,41600 AUD,Permanent part-time,32,Australia has free healthcare for all citizens (still)/not relevant,2019,3,National standard (18 weeks),,,BFA,n/a,
"[Small Non-Profit Museum in Chicago, iL] ",Coordinator ,Development,Chicago,USA,"$50,000 ",2019,"$50,000 ",P,40,"Health, 10 day vacation/sick time/",2019,3,"Just Maternity Leave, 3 months",,,Bachelor Degree and no assistance,Yes,
9/11 Memorial Museum,Digital Content Manager,Marketing,New York,US,"68,000",2017,"70,000",,,Yes,2019,3,3 months? I think both parents are entitled,,,BA,,
